times, f
2.490635294023157975e+00,-6.462106461717040951e-01
2.494075398020427325e+00,-6.466213182380987634e-01
2.497515502017697120e+00,-6.470316808454826818e-01
2.500955606014966470e+00,-6.474417560609319056e-01
2.504395710012236265e+00,-6.478515659515230452e-01
2.507835814009505615e+00,-6.482611325843322669e-01
2.511275918006774965e+00,-6.486704780264361814e-01
2.514716022004044760e+00,-6.490796243449109548e-01
2.518156126001314110e+00,-6.494885936068329757e-01
2.521596229998583905e+00,-6.498974078792787434e-01
2.525036333995853255e+00,-6.503060892293245354e-01
2.528476437993123049e+00,-6.507146597240467401e-01
2.531916541990392400e+00,-6.511231414305217458e-01
2.535356645987662194e+00,-6.515315527156534392e-01
2.538796749984931544e+00,-6.519398916085782369e-01
2.542236853982201339e+00,-6.523481491877108907e-01
2.545676957979470689e+00,-6.527563165254420818e-01
2.549117061976740484e+00,-6.531643846941621590e-01
2.552557165974009834e+00,-6.535723447662609153e-01
2.555997269971279184e+00,-6.539801878141286995e-01
2.559437373968548979e+00,-6.543879049101561929e-01
2.562877477965818329e+00,-6.547954871267330779e-01
2.566317581963088124e+00,-6.552029255362502580e-01
2.569757685960357474e+00,-6.556102112110973046e-01
2.573197789957627268e+00,-6.560173352236647881e-01
2.576637893954896619e+00,-6.564242886463429461e-01
2.580077997952166413e+00,-6.568310625515221268e-01
2.583518101949435763e+00,-6.572376480115923458e-01
2.586958205946705558e+00,-6.576440360989442846e-01
2.590398309943974908e+00,-6.580502178859675144e-01
2.593838413941244703e+00,-6.584561844450528278e-01
2.597278517938514053e+00,-6.588619268485902403e-01
2.600718621935783403e+00,-6.592674361689701001e-01
2.604158725933053198e+00,-6.596727034785826449e-01
2.607598829930322548e+00,-6.600777198498178899e-01
